SPY;S&P 500
QQQ;Nasdaq
DIA;DJIA
IWM;Russell 2000
EFA;MSCI
EWA;Australia
EWC;Canada
EWQ;France
EWG;Germany
EWI;Italy
EWJ;Japan
EWN;Netherlands
EWP;Spain
EWU;United Kingdom
