MDYG;SPDR S&P 400 Mid Cap Growth
MDYV;SPDR S&P 400 Mid Cap Value
SPYG;SPDR S&P 500 Growth
SPYV;SPDR S&P 500 Value
SLYG;SPDR S&P 600 Small Cap Growth
SLYV;SPDR S&P 600 Small Cap Value
