IPD;SPDR S&P International Consumer Discretionary Sector
IPS;SPDR S&P International Consumer Staples Sector
IPW;SPDR S&P International Energy Sector
IPF;SPDR S&P International Financial Sector
IRY;SPDR S&P International Health Care Sector
IPN;SPDR S&P International Industrial Sector
IRV;SPDR S&P International Materials Sector
IPK;SPDR S&P International Technology Sector
IST;SPDR S&P International Telecommunications Sector
IPU;SPDR S&P International Utilities Sector
