FXI;China
EWZ;Brazil
EEM;MSCI Emerging Markets
EWW;Mexico
EWS;Singapore
EWM;Malaysia
EWY;South Korea
EWT;Taiwan
EZA;South Africa
RSX;Russia
INDA;India
